,Sleep quality,Sleep Notes,Heart rate,Activity (steps),Time in bed in minutes,Day,Month,Year,Date,Bedtime,Woke up,Mood (out of 3),Away from home,Drinking alcohol,Incense,Stressful day,🙂,Aerial,🙁,Pole fitness,Worked out,Climbing,Feeling ill 🤒,Swimming ,Totm,Cycled to work,Games night,🙈,Dance,Pilates,Water workout
5,63.0,Away from home:Drinking alcohol,81,10663,498.0,03,12,2017,2017-12-03,00:44,09:02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,72.0,Incense,67,16018,399.0,03,12,2017,2017-12-03,23:17,05:56,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,84.0,Stressful day:🙂,81,6064,489.99999999999994,04,12,2017,2017-12-04,22:38,06:49,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,83.0,Aerial:🙁,89,4378,496.0,05,12,2017,2017-12-05,22:34,06:50,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,74.0,Incense,81,3105,450.0,06,12,2017,2017-12-06,23:31,07:01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72.0,Drinking alcohol,93,10452,381.0,07,12,2017,2017-12-07,22:54,05:16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,100.0,Pole fitness:Worked out,91,4795,578.0000000000001,08,12,2017,2017-12-08,22:23,08:02,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,51.0,🙁,90,16332,278.0,10,12,2017,2017-12-10,00:16,04:55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,98.0,Drinking alcohol,82,2477,531.0,10,12,2017,2017-12-10,22:31,07:23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,32.0,Drinking alcohol:🙁,98,9672,167.00000000000003,13,12,2017,2017-12-13,00:16,03:03,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,90.0,🙁,98,2691,540.0,13,12,2017,2017-12-13,22:41,07:41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,81.0,🙁,78,3436,470.0,14,12,2017,2017-12-14,22:27,06:17,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,82.0,🙂,90,5576,522.0,15,12,2017,2017-12-15,23:49,08:31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,64.0,🙂,80,12966,408.00000000000006,17,12,2017,2017-12-17,01:06,07:55,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,81.0,,79,6484,460.00000000000006,17,12,2017,2017-12-17,23:28,07:09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,73.0,Drinking alcohol,85,13369,549.0,18,12,2017,2017-12-18,22:36,07:46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,63.0,Incense,81,9466,436.0,19,12,2017,2017-12-19,23:16,06:32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,69.0,Incense,75,6673,427.0,20,12,2017,2017-12-20,23:22,06:29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,82.0,,84,2150,505.0,21,12,2017,2017-12-21,23:03,07:29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,66.0,Away from home:🙁,76,11899,526.0000000000001,23,12,2017,2017-12-23,22:24,07:11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,59.0,,80,2288,420.0,25,12,2017,2017-12-25,00:53,07:53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,37.0,,77,8502,268.0,28,12,2017,2017-12-28,23:43,04:12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,100.0,,84,3142,611.0,29,12,2017,2017-12-29,23:16,09:28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,76.0,,80,703,587.0000000000001,30,12,2017,2017-12-30,22:14,08:02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,63.0,🙂,86,2653,556.0,01,01,2018,2018-01-01,02:12,11:29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,77.0,,85,5333,404.00000000000006,06,01,2018,2018-01-06,01:00,07:44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,81.0,,92,2168,498.0,07,01,2018,2018-01-07,23:03,07:22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,76.0,,89,2455,433.99999999999994,11,01,2018,2018-01-11,02:17,09:31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,87.0,🙂,89,5570,446.99999999999994,11,01,2018,2018-01-11,23:40,07:08,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,85.0,🙂,79,6980,490.99999999999994,16,01,2018,2018-01-16,22:23,06:35,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,85.0,Worked out,98,5089,444.0,18,01,2018,2018-01-18,23:40,07:05,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,97.0,,78,5565,533.9999999999999,21,01,2018,2018-01-21,23:33,08:27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,70.0,Climbing,82,6982,437.0,22,01,2018,2018-01-22,23:51,07:08,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,90.0,,68,4798,494.00000000000006,23,01,2018,2018-01-23,22:52,07:06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,72.0,,95,6963,453.0,24,01,2018,2018-01-24,23:51,07:24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100.0,Pole fitness:Worked out,88,7174,548.0,25,01,2018,2018-01-25,22:17,07:25,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,83.0,,91,7668,470.0,27,01,2018,2018-01-27,01:14,09:04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,79.0,Away from home:Climbing:Worked out,80,11129,479.0,28,01,2018,2018-01-28,00:00,08:00,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
43,91.0,Pole fitness:Worked out,73,3641,579.0,28,01,2018,2018-01-28,21:55,07:35,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44,78.0,,83,4274,469.0,29,01,2018,2018-01-29,23:38,07:27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,43.0,Climbing,88,3665,344.00000000000006,31,01,2018,2018-01-31,00:59,06:43,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,68.0,Climbing:Worked out,86,3448,371.00000000000006,04,02,2018,2018-02-04,02:21,08:32,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
47,38.0,Pole fitness:Worked out,88,4563,524.0,04,02,2018,2018-02-04,22:24,07:09,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48,98.0,Worked out,79,6260,555.0,06,02,2018,2018-02-06,21:41,06:56,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,81.0,Climbing:Worked out,87,5898,481.99999999999994,07,02,2018,2018-02-07,22:51,06:53,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50,66.0,,79,5366,369.0,08,02,2018,2018-02-08,23:51,06:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,80.0,Feeling ill 🤒,81,1850,470.0,19,02,2018,2018-02-19,22:50,06:41,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,61.0,Feeling ill 🤒:🙁,82,9196,471.99999999999994,20,02,2018,2018-02-20,23:16,07:09,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
53,97.0,Feeling ill 🤒,101,3519,516.0,22,02,2018,2018-02-22,22:18,06:55,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,68.0,Climbing:Stressful day:Worked out,99,2876,431.00000000000006,25,02,2018,2018-02-25,23:32,06:43,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
55,83.0,Drinking alcohol:Stressful day,91,5012,453.0,26,02,2018,2018-02-26,22:55,06:28,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,80.0,Pole fitness:Worked out,92,7004,437.0,27,02,2018,2018-02-27,23:00,06:18,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58,86.0,Stressful day:🙁,88,4779,512.0,13,03,2018,2018-03-13,22:13,06:45,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,69.0,,72,6118,393.0,15,03,2018,2018-03-15,23:43,06:17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,88.0,Climbing:Pole fitness:Worked out,87,7356,464.00000000000006,16,03,2018,2018-03-16,23:06,06:51,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
61,91.0,Incense:Pole fitness:Worked out:🙂,79,9888,499.99999999999994,18,03,2018,2018-03-18,22:22,06:43,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62,86.0,Pole fitness:Worked out,102,2388,464.00000000000006,19,03,2018,2018-03-19,22:36,06:21,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63,81.0,Feeling ill 🤒:🙁,123,5640,496.0,20,03,2018,2018-03-20,21:48,06:05,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
64,90.0,Feeling ill 🤒:🙁,86,270,486.00000000000006,21,03,2018,2018-03-21,21:55,06:02,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
65,86.0,,90,7337,482.99999999999994,22,03,2018,2018-03-22,21:59,06:02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,64.0,Stressful day,92,5057,351.99999999999994,24,03,2018,2018-03-24,01:11,07:04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,83.0,🙁,82,2395,418.0,24,03,2018,2018-03-24,22:33,06:31,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,76.0,,86,4813,453.0,26,03,2018,2018-03-26,23:15,06:48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,82.0,Stressful day,84,3972,491.99999999999994,27,03,2018,2018-03-27,23:24,07:36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,93.0,Stressful day:🙁,89,3085,538.0,28,03,2018,2018-03-28,22:17,07:16,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,76.0,Climbing:Worked out:🙁,91,6198,454.0,30,03,2018,2018-03-30,23:44,07:19,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
72,59.0,Drinking alcohol:Stressful day,91,13084,373.99999999999994,02,04,2018,2018-04-02,03:32,09:46,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,92.0,🙁,99,1163,548.0,02,04,2018,2018-04-02,21:48,06:57,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,91.0,,77,5825,513.0,03,04,2018,2018-04-03,22:45,07:18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,71.0,🙁,81,10406,401.0,04,04,2018,2018-04-04,23:46,06:27,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,83.0,Pole fitness:Worked out,78,8181,475.99999999999994,05,04,2018,2018-04-05,22:32,06:29,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77,67.0,Away from home:Drinking alcohol,89,7693,450.99999999999994,06,04,2018,2018-04-06,23:55,07:26,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,80.0,Drinking alcohol,90,10240,464.00000000000006,08,04,2018,2018-04-08,01:24,09:08,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,80.0,Stressful day,86,3625,469.0,09,04,2018,2018-04-09,22:26,06:16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,74.0,,78,11996,376.0,11,04,2018,2018-04-11,00:21,06:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,64.0,🙁,78,5604,377.0,12,04,2018,2018-04-12,00:24,06:41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,77.0,Feeling ill 🤒:🙁,99,6254,450.99999999999994,12,04,2018,2018-04-12,22:53,06:25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
83,83.0,🙂,84,8211,467.0,14,04,2018,2018-04-14,23:18,07:05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,76.0,Feeling ill 🤒,92,4156,466.0,15,04,2018,2018-04-15,22:48,06:35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,56.0,Feeling ill 🤒,89,5694,333.0,17,04,2018,2018-04-17,01:02,06:36,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,56.0,,77,8156,312.0,20,04,2018,2018-04-20,00:19,05:31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,92.0,Feeling ill 🤒:🙁,83,529,568.9999999999999,22,04,2018,2018-04-22,21:12,06:42,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
88,45.0,Feeling ill 🤒:🙁,94,6674,377.0,24,04,2018,2018-04-24,00:50,07:08,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
89,70.0,,90,5593,349.0,04,05,2018,2018-05-04,00:32,06:21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
