Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2017-11-27 23:11:00, 2017-11-28 06:09:09,62,6.58, , ,0,1564,7
 2017-11-29 00:41:04, 2017-11-29 07:09:51,59,6.28, , Aerial:Worked out,0,8144,7

 2017-11-29 23:53:11, 2017-11-30 07:27:05,91,7.33, , ,0,6707,8

 2017-11-30 23:07:29, 2017-12-01 05:58:18,79,6.5, , ,0,4778,7

 2017-12-01 23:19:21, 2017-12-02 05:58:20,77,6.38, , Pole fitness:Worked out,0,7111,7

 2017-12-03 00:44:08, 2017-12-03 09:02:21,63,8.18, :|, Away from home:Drinking alcohol,81,10663,9

 2017-12-03 23:17:16, 2017-12-04 05:56:27,72,6.39, :|, Incense,67,16018,7

 2017-12-04 22:38:28, 2017-12-05 06:49:04,84,8.1, :|, Stressful day:??,81,6064,9

 2017-12-05 22:34:18, 2017-12-06 06:50:34,83,8.16, :|, Aerial:??,89,4378,9

 2017-12-06 23:31:22, 2017-12-07 07:01:58,74,7.3, :|, Incense,81,3105,8

 2017-12-07 22:54:57, 2017-12-08 05:16:23,72,6.21, :(, Drinking alcohol,93,10452,7

 2017-12-08 22:23:32, 2017-12-09 08:02:00,100,9.38, :|, Pole fitness:Worked out,91,4795,10

 2017-12-10 00:16:46, 2017-12-10 04:55:05,51,4.38, :(, ??,90,16332,5

 2017-12-10 22:31:44, 2017-12-11 07:23:04,98,8.51, :|, Drinking alcohol,82,2477,9

 2017-12-13 00:16:20, 2017-12-13 03:03:44,32,2.47, :(, Drinking alcohol:??,98,9672,3

 2017-12-13 22:41:12, 2017-12-14 07:41:44,90,9, :(, ??,98,2691,9

 2017-12-14 22:27:20, 2017-12-15 06:17:23,81,7.5, :|, ??,78,3436,8

 2017-12-15 23:49:01, 2017-12-16 08:31:19,82,8.42, :(, ??,90,5576,9

 2017-12-17 01:06:44, 2017-12-17 07:55:36,64,6.48, :|, ??,80,12966,7

 2017-12-17 23:28:20, 2017-12-18 07:09:19,81,7.4, :|, ,79,6484,8

 2017-12-18 22:36:35, 2017-12-19 07:46:30,73,9.09, :(, Drinking alcohol,85,13369,10

 2017-12-19 23:16:13, 2017-12-20 06:32:25,63,7.16, :(, Incense,81,9466,8

 2017-12-20 23:22:07, 2017-12-21 06:29:43,69,7.07, :(, Incense,75,6673,8

 2017-12-21 23:03:49, 2017-12-22 07:29:14,82,8.25, :(, ,84,2150,9

 2017-12-23 22:24:57, 2017-12-24 07:11:01,66,8.46, :(, Away from home:??,76,11899,9

 2017-12-25 00:53:05, 2017-12-25 07:53:17,59,7, :|, ,80,2288,7

 2017-12-28 23:43:24, 2017-12-29 04:12:20,37,4.28, :|, ,77,8502,5

